CASE	FILES	SENT_ID	LEFT	NODE	RIGHT	NODE_SENTENCES	WORD_CLASS	USE	SYN_FUNC_NODE	PATTERN	MP	LU_POST	BODY_PART	LU	LU_GLOSS	LU_POS	NEGATION	METONYMY	SFRAME	SFRAME_URL	SFRAME_RELATED	SFRAME_RELATED_URL	SFRAME_RELATED_LINK	ROLEMAPPING_TD_IN_SFRAME	CM_ROLEMAPPING	CM_BROADER	MAP1	MAP2	MAP3	MAP4	NOTES
599	ind_web_2011_300K	255585	Cara meredam emosi/	amarah	orang lain Untuk meredam amarah orang lain sebaiknya kita tidak ikut emosi ketika menghadapi orang yang sedang dilanda amarah agar masalah tidak menjadi semakin rumit.	Cara meredam emosi/<m>amarah</m> orang lain Untuk meredam amarah orang lain sebaiknya kita tidak ikut emosi ketika menghadapi orang yang sedang dilanda amarah agar masalah tidak menjadi semakin rumit.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	L1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
573	ind_web_2011_300K	9547	Seharusnya bisa meredam	amarah	yang muncul sewaktu-waktu.	Seharusnya bisa meredam <m>amarah</m> yang muncul sewaktu-waktu.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
204	ind_news_2008_300K	137587	"""Puasa mengandung beberapa hikmah, antara lain sarana membangun sifat takwa, karena paling tepat menahan syahwat, pandangan, meredam"	amarah	"dan menghapus dendam,"" katanya."	"""Puasa mengandung beberapa hikmah, antara lain sarana membangun sifat takwa, karena paling tepat menahan syahwat, pandangan, meredam <m>amarah</m> dan menghapus dendam,"" katanya."	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
591	ind_web_2011_300K	150068	Yang mana itu jauh berbeda dengan meredam	amarah	.	Yang mana itu jauh berbeda dengan meredam <m>amarah</m>.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
1	ind_mixed_2012_1M	41	Begitu penjelasan Syaikh Ahmad waktu kutanyakan ihwal cara aneh orang Mesir dalam meredam	amarah	.	Begitu penjelasan Syaikh Ahmad waktu kutanyakan ihwal cara aneh orang Mesir dalam meredam <m>amarah</m>.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
1225	ind-id_web_2015_3M	2716000	Tapi, jika keadaan tak memungkinkan untuk Anda pergi kemana-mana, upayakan sebisa mungkin untuk meredam	amarah	.	Tapi, jika keadaan tak memungkinkan untuk Anda pergi kemana-mana, upayakan sebisa mungkin untuk meredam <m>amarah</m>.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
713	ind_web_2012_1M	553797	Tapi ternyata kedatangan mereka tak mampu meredam	amarah	kedua belah pihak bertikai.	Tapi ternyata kedatangan mereka tak mampu meredam <m>amarah</m> kedua belah pihak bertikai.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
427	ind_newscrawl_2012_1M	433688	Beruntung petugas yang datang ke lokasi kejadian berhasil meredam	amarah	warga.	Beruntung petugas yang datang ke lokasi kejadian berhasil meredam <m>amarah</m> warga.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
11	ind_mixed_2012_1M	58361	Tangislah yang selalu bisa tenangkanku, selalu hanya tangislah yang bisa meredam	amarah	hatiku, dan selalu hanya tangis pula yang mampu membuatku tenggelam dalam pengembaraanku pada yang Esa.	Tangislah yang selalu bisa tenangkanku, selalu hanya tangislah yang bisa meredam <m>amarah</m> hatiku, dan selalu hanya tangis pula yang mampu membuatku tenggelam dalam pengembaraanku pada yang Esa.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1	hati	<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
884	ind-id_web_2013_1M	6595	2.Sabar adalah menahan diri dari keputusasaan, meredam	amarah	jiwa, mencegah lisan untuk mengeluh, serta anggota badan tidak berbuat kemungkaran.	2.Sabar adalah menahan diri dari keputusasaan, meredam <m>amarah</m> jiwa, mencegah lisan untuk mengeluh, serta anggota badan tidak berbuat kemungkaran.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
600	ind_web_2011_300K	255585	Cara meredam emosi/amarah orang lain Untuk meredam	amarah	orang lain sebaiknya kita tidak ikut emosi ketika menghadapi orang yang sedang dilanda amarah agar masalah tidak menjadi semakin rumit.	Cara meredam emosi/amarah orang lain Untuk meredam <m>amarah</m> orang lain sebaiknya kita tidak ikut emosi ketika menghadapi orang yang sedang dilanda amarah agar masalah tidak menjadi semakin rumit.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
878	ind_wikipedia_2016_1M	971671	Untuk meredam	amarah	publik, Luna mendapat tawaran beasiswa dari SMU Antara.	Untuk meredam <m>amarah</m> publik, Luna mendapat tawaran beasiswa dari SMU Antara.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
775	ind_web_2012_1M	862216	Gw langsung telpon lagi Heru Joko tuk protes keras kenapa dia tidak berusaha meredam	amarah	anggotanya dan kenapa dia berbohong mengatakan kalo dia belum tiba di stadion.	Gw langsung telpon lagi Heru Joko tuk protes keras kenapa dia tidak berusaha meredam <m>amarah</m> anggotanya dan kenapa dia berbohong mengatakan kalo dia belum tiba di stadion.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
861	ind_wikipedia_2016_1M	771499	Sampai Jakarta, Galang bertemu teman baru, Disko (Adjie Idol), seorang pengamen kelas teri bersuara emas namun berwajah lumpur (item dan dekil) yang selalu berhasil meredam	amarah	Galang.	Sampai Jakarta, Galang bertemu teman baru, Disko (Adjie Idol), seorang pengamen kelas teri bersuara emas namun berwajah lumpur (item dan dekil) yang selalu berhasil meredam <m>amarah</m> Galang.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
1238	ind-id_web_2015_3M	2863762	Ucapan sayang dengan bahasa Spanyol bisa meredam	amarah	kekasihnya tersebut.	Ucapan sayang dengan bahasa Spanyol bisa meredam <m>amarah</m> kekasihnya tersebut.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
368	ind_newscrawl_2011_1M	796714	Manajemen Sriwijaya Air tidak lagi bisa meredam	amarah	penumpang.	Manajemen Sriwijaya Air tidak lagi bisa meredam <m>amarah</m> penumpang.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
1043	ind-id_web_2015_3M	691334	Diharapkan trik-trik di atas dapat membantu orang tua dalam meredam	amarah	si Kecil dan mendapatkan solusi yang terbaik.	Diharapkan trik-trik di atas dapat membantu orang tua dalam meredam <m>amarah</m> si Kecil dan mendapatkan solusi yang terbaik.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
1193	ind-id_web_2015_3M	2251378	Sampai Jakarta, Galang bertemu teman baru, Disko (Aji Idol), seorang pengamen kelas teri bersuara emas namun berwajah dekil yang selalu berhasil meredam	amarah	Galang.	Sampai Jakarta, Galang bertemu teman baru, Disko (Aji Idol), seorang pengamen kelas teri bersuara emas namun berwajah dekil yang selalu berhasil meredam <m>amarah</m> Galang.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
389	ind_newscrawl_2011_1M	979386	Keluarga Korban Sesalkan Polisi Keluarga korban yang tewas dalam insiden penyerangan terhadap jemaah ahmadiyah di Cikeusik Ğ Banten menyesalkan tindakan kepolisian yang mereka anggap tidak berdaya meredam	amarah	massa, sehingga jatuh korban jiwa.	Keluarga Korban Sesalkan Polisi Keluarga korban yang tewas dalam insiden penyerangan terhadap jemaah ahmadiyah di Cikeusik Ğ Banten menyesalkan tindakan kepolisian yang mereka anggap tidak berdaya meredam <m>amarah</m> massa, sehingga jatuh korban jiwa.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
1079	ind-id_web_2015_3M	1055111	Itu sebabnya kemenangan menjadi harga mati untuk meredam	amarah	suporter.	Itu sebabnya kemenangan menjadi harga mati untuk meredam <m>amarah</m> suporter.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
200	ind_news_2008_300K	45135	Satu peleton satuan Brigade Mobil (Brimob) Polda NTB juga diterjunkan untuk meredam	amarah	warga.	Satu peleton satuan Brigade Mobil (Brimob) Polda NTB juga diterjunkan untuk meredam <m>amarah</m> warga.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
1177	ind-id_web_2015_3M	2109169	Polisi yang mengawal demonstran terlihat tidak bisa melakukan apa-apa untuk meredam	amarah	massa.	Polisi yang mengawal demonstran terlihat tidak bisa melakukan apa-apa untuk meredam <m>amarah</m> massa.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
671	ind_web_2012_1M	351956	Mengalah sedikit untuk meredam	amarah	justru akan melegakan diri.	Mengalah sedikit untuk meredam <m>amarah</m> justru akan melegakan diri.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
746	ind_web_2012_1M	740170	Kebo Rerangin menyarankan meredam	amarah	dengan berkonsultasi kepada Sang Kili Suci yang meskipun sudah sepuh masih segar bugar di pertapaan, dan sang Prabu pun sepakat.	Kebo Rerangin menyarankan meredam <m>amarah</m> dengan berkonsultasi kepada Sang Kili Suci yang meskipun sudah sepuh masih segar bugar di pertapaan, dan sang Prabu pun sepakat.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
103	ind_mixed_2012_1M	525892	Rasa senang bisa meredam	amarah	.	Rasa senang bisa meredam <m>amarah</m>.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
640	ind_web_2012_1M	197429	B. Cara Untuk Meredam Emosi / Amarah Orang Lain : Untuk meredam	amarah	orang lain sebaiknya kita tidak ikut emosi ketika menghadapi orang yang sedang dilanda amarah agar masalah tidak menjadi semakin rumit.	B. Cara Untuk Meredam Emosi / Amarah Orang Lain : Untuk meredam <m>amarah</m> orang lain sebaiknya kita tidak ikut emosi ketika menghadapi orang yang sedang dilanda amarah agar masalah tidak menjadi semakin rumit.	NA	metaphor		<w>meredam</w> node	<w>meredam(kan)</w> node	l1		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
903	ind-id_web_2013_1M	151055	Cess, meredam sisa Ğ sisa	amarah	yang tertinggal.	Cess, meredam sisa Ğ sisa <m>amarah</m> yang tertinggal.	NA	metaphor		<w>meredam</w> sisa-sisa node	<w>meredam(kan)</w> node	l2		<w>meredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
558	ind_newscrawl_2016_1M	854927	Senyum Beliau sungguh menyejukkan dengan tatapan mata penuh kelembutan yang mampu meredamkan gejolak	amarah	sekalipun.	Senyum Beliau sungguh menyejukkan dengan tatapan mata penuh kelembutan yang mampu meredamkan gejolak <m>amarah</m> sekalipun.	NA	metaphor		tatapan BRP yang <w>meredamkan</w> gejolak node	<w>meredam(kan)</w> node	l2	mata	<w>meredamkan</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	makes use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
968	ind-id_web_2015_3M	23358	2. Tahan dan Redam	Amarah	"; Jika suasana semakin tegang dan kemarahan anda dan aksi mereka sudah mulai memuncak, ingatlah untuk selalu dapat menahan dan meredam kemarahan Anda sedikitnya 5 menit."	"2. Tahan dan Redam <m>Amarah</m>; Jika suasana semakin tegang dan kemarahan anda dan aksi mereka sudah mulai memuncak, ingatlah untuk selalu dapat menahan dan meredam kemarahan Anda sedikitnya 5 menit."	NA	metaphor		<w>redam</w> node	<w>redam(lah)</w> node	l1		<w>redam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	make use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
484	ind_newscrawl_2015_300K	109684	Jalin hubungan yang baik dengan anak dan redamlah emosi	amarah	itu, toh menjadi sabar itu adalah kebaikan.	Jalin hubungan yang baik dengan anak dan redamlah emosi <m>amarah</m> itu, toh menjadi sabar itu adalah kebaikan.	NA	metaphor		<w>redamlah</w> emosi_node	<w>redam(lah)</w> node	L1		<w>redamlah</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	make use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
291	ind_news_2012_300K	228466	"""Tengok saja, belum redup gelombang"	amarah	yang ditimbulkan oleh film Innocence of Muslims, telah muncul kartun Nabi Muhammad di surat kabar Perancis, Charlie Hebdo.	"""Tengok saja, belum redup gelombang <m>amarah</m> yang ditimbulkan oleh film Innocence of Muslims, telah muncul kartun Nabi Muhammad di surat kabar Perancis, Charlie Hebdo."	NA	metaphor		<w>redup</w> gelombang node	<w>redup</w> node	l2		<w>redup</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	make use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
1007	ind-id_web_2015_3M	336958	Belum sempat bersorak kesal,	amarah	buruh teredam karena melihat bendera kuning pertanda pengiring jenazah melintas di hadapan mereka, meminta jalan.	Belum sempat bersorak kesal, <m>amarah</m> buruh teredam karena melihat bendera kuning pertanda pengiring jenazah melintas di hadapan mereka, meminta jalan.	NA	metaphor		node <w>teredam</w>	node <w>teredam</w>	r1		<w>teredam</w>					light source	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Light_source	luminousity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Luminosity	make use of	light	anger is light	anger is light	anger_light	anger-level_light-level	reducing anger is reducing the level of light		
160	ind_mixed_2012_1M	829497	Sikap ini memandang Tuhan tak ada dalam	amarah	dan kecerewetan, melainkan dalam ketenteraman yang suci dan tersembunyi.	Sikap ini memandang Tuhan tak ada dalam <m>amarah</m> dan kecerewetan, melainkan dalam ketenteraman yang suci dan tersembunyi.	NA	metaphor		EXP tak <w>ada dalam</w> node	EXP <w>ada dalam</w> node	L1		<w>ada dalam</w>		verb_itr_av_base	TRUE		being in a bounded region		containing			bounded_entity	anger is bounded entity	anger is location	anger_(un)bounded-location	experiencer_located-entity			
2491	ind_web_2012_1M	361006	Dan yang paling mutakhir, saat bangsa ini sedang berada dalam keprihatinan mendalam dan	kemarahan	hebat terhadap praktek MAFIA PERADILAN yang dilakukan tanpa malu-malu dan telanjang.	Dan yang paling mutakhir, saat bangsa ini sedang berada dalam keprihatinan mendalam dan <m>kemarahan</m> hebat terhadap praktek MAFIA PERADILAN yang dilakukan tanpa malu-malu dan telanjang.	NA	metaphor		EXP sedang <w>berada dalam</w> node	EXP <w>berada dalam</w> node	l1		<w>berada dalam</w>					being in a bounded region		containing			bounded_entity	anger is bounded entity	anger is location	anger_(un)bounded-location	experiencer_located-entity			
1003	ind-id_web_2015_3M	314441	Beberapa kondisi seseorang yang berada dalam	amarah	"yang memuncak di antaranya; Berkata keras dan kasar pada orang lain."	"Beberapa kondisi seseorang yang berada dalam <m>amarah</m> yang memuncak di antaranya; Berkata keras dan kasar pada orang lain."	NA	metaphor		EXP yang <w>berada dalam</w> node	EXP <w>berada dalam</w> node	L1		<w>berada dalam</w>					being in a bounded region		containing			bounded_entity	anger is bounded entity	anger is location	anger_(un)bounded-location	experiencer_located-entity			
505	ind_mixed_2012_1M	911918	Kini mereka berada pada puncak	kemarahan	, yang mereka yakini bahwa mereka telah dikalahkan oleh satu dengan yang lain.	Kini mereka berada pada puncak <m>kemarahan</m>, yang mereka yakini bahwa mereka telah dikalahkan oleh satu dengan yang lain.	NA	metaphor		EXP <w>berada di</w> puncak node	EXP <w>berada di</w> puncak node	l2		<w>berada di</w>					being at a location		verticality			locale	anger is location	anger is location	anger_(un)bounded-location	experiencer_located-entity			
1270	ind_newscrawl_2011_1M	347377	Diduga sangat kuat bahwa	kemarahan	besar di antara masyarakat tidak dapat dihindari sebagai wujud protes terhadap pemerintah dan guru sendiri.	Diduga sangat kuat bahwa <m>kemarahan</m> besar di antara masyarakat tidak dapat dihindari sebagai wujud protes terhadap pemerintah dan guru sendiri.	NA	metaphor		node tidak dapat <w>dihindari</w>	node <w>dihindari</w>	r3		<w>dihindari</w>			TRUE		motion with respect to an undesirable entity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Motion_with_respect_to_an_undesirable_entity	avoiding obstacles	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Avoiding_obstacles			anger is undesirable entity	anger is location	anger_(un)bounded-location	experiencer_located-entity	not experiencing anger is being/moving away from a location		
3370	ind-id_web_2015_3M	717884	Din melihat	kemarahan	itu tak dapat dihindarkan.	Din melihat <m>kemarahan</m> itu tak dapat dihindarkan.	NA	metaphor		node tak dapat <w>dihindarkan</w>	node <w>dihindarkan</w>	r1		<w>dihindarkan</w>			TRUE		motion with respect to an undesirable entity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Motion_with_respect_to_an_undesirable_entity	avoiding obstacles	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Avoiding_obstacles			anger is undesirable entity	anger is location	anger_(un)bounded-location	experiencer_located-entity	not experiencing anger is being/moving away from a location		
658	ind_web_2012_1M	282084	Gereja yang sempurna adalah gereja yang akan disingkirkan, jauh dari	amarah	yang dilampiaskan oleh iblis melalui tangan kanannya yaitu Antikristus.	Gereja yang sempurna adalah gereja yang akan disingkirkan, jauh dari <m>amarah</m> yang dilampiaskan oleh iblis melalui tangan kanannya yaitu Antikristus.	NA	metaphor		EXP <w>jauh dari</w> node	EXP <w>jauh dari</w> node	L1		<w>jauh dari</w>					distant						anger is location	anger is location	anger_(un)bounded-location	experiencer_located-entity	not experiencing anger is being/moving away from a location		
1521	ind_newscrawl_2012_1M	99563	JIKA ketidakpuasan terhadap sistem pemerintahan dan nilai-nilai kehidupan dibenarkan perlawanannya lewat	kemarahan	dan sumpah serapah, maka The Used adalah salah satu pelakunya.	JIKA ketidakpuasan terhadap sistem pemerintahan dan nilai-nilai kehidupan dibenarkan perlawanannya lewat <m>kemarahan</m> dan sumpah serapah, maka The Used adalah salah satu pelakunya.	NA	metaphor		EVENT <w>lewat</w> node	EVENT <w>lewat</w> node	l1		<w>lewat</w>					source path goal	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Source_path_goal				path	anger is location	anger is location	anger_(un)bounded-location	experiencer_located-entity	not experiencing anger is being/moving away from a location		
1100	ind-id_web_2015_3M	1267312	Kebijaksanaanpun menuntun pula orang benar yang melarikan diri dari	amarah	kakaknya, lagi dipimpinnya melalui lorong-lorong yang lurus.	Kebijaksanaanpun menuntun pula orang benar yang melarikan diri dari <m>amarah</m> kakaknya, lagi dipimpinnya melalui lorong-lorong yang lurus.	NA	metaphor		<w>melarikan diri dari</w> node	<w>melarikan diri dari</w> node	L1	diri	<w>melarikan diri dari</w>					motion with respect to an undesirable entity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Motion_with_respect_to_an_undesirable_entity	motion away from an undesirable location	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Motion_away_from_an_undesirable_location			anger is undesirable entity	anger is location	anger_(un)bounded-location	experiencer_located-entity	not experiencing anger is being/moving away from a location		
799	ind_web_2012_1M	981309	Maaflah, acik yang tk bljar tinggi ni anggap sabar itu hanya lah satu perbuatan yg dilakukan dalam hati, untuk mengelakkan dari nafsu	amarah	dan nafsu lelain tuh.	Maaflah, acik yang tk bljar tinggi ni anggap sabar itu hanya lah satu perbuatan yg dilakukan dalam hati, untuk mengelakkan dari nafsu <m>amarah</m> dan nafsu lelain tuh.	NA	metaphor		<w>mengelakkan dari</w> nafsu_node	<w>mengelakkan dari</w> node	l1		<w>mengelakkan dari</w>					motion with respect to an undesirable entity	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Motion_with_respect_to_an_undesirable_entity	motion away from an undesirable location	https://metaphor.icsi.berkeley.edu/pub/en/index.php/Frame:Motion_away_from_an_undesirable_location			anger is undesirable entity	anger is location	anger_(un)bounded-location	experiencer_located-entity	not experiencing anger is being/moving away from a location		
