SEARCH_TERM	LU	CITATIONS	ENGLISH_TRANSLATION	SOURCES	PAGE_LOCATION	LU_GLOSS	SFRAME	CM_BROADER	BODY_PART	MAP_1	MAP_2	MAP_3	RELEVANCE	KBBI_SENSE	ORIGIN	NOTES
marah	bercura-cura	<w>bercura-cura</w>	to abuse s.o.	kamus_pusat_bahasa_2008	297	to abuse s.o.	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	eksplosif	<w>eksplosif</w>	explosive	kamus_pusat_bahasa_2008	381	explosive	pressure in a container	anger is substance in a container		anger_contents/located-entity	intense anger is exploding container		metaphor			
marah	galak	Ayahnya terkenal <w>galak</w>	esp. of animals, fierce, savage, wild	kamus_pusat_bahasa_2008	432	esp. of animals, fierce, savage, wild	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	menggalak	Anjing itu <w>menggalak</w> menyerang kami	esp. of animals, to become fierce, savage, wild, angry	kamus_pusat_bahasa_2008	432	esp. of animals, to become fierce, savage, wild, angry	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	menggebrak	Karena <t>marah</t>, ia <w>menggebrak</w> meja	Because angry, he hits the table	kamus_pusat_bahasa_2008	450	to hit hard with hand at sth. (typically a table or door)	metonymy	violent frustated behaviour for anger					metonymy			
marah	gelap mata	<w>gelap mata</w>	dark eyes	kamus_pusat_bahasa_2008	455	dark eyes	metonymy	visual interference for anger	mata				metonymy			
gelap mata	silap mata	<w>silap mata</w>	dark eyes	tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/gelap%2Bmata	dark eyes	metonymy	visual interference for anger	mata				metonymy			
marah	gelap pikiran	<w>gelap pikiran</w>	dark mind	kamus_pusat_bahasa_2008	455	dark mind	darkness	anger is darkness	pikiran	anger_darkness	angry-person_person-being-in-the-dark-state		metaphor			
marah	kegelapan	Mendengar jawaban yang kasar itu ia <w>kegelapan</w>	Hearing that harsh answer, he is under darkness/angry	kamus_pusat_bahasa_2008	456	"undergoing darkness; angry"	darkness	anger is darkness		anger_darkness	angry-person_person-being-in-the-dark-state		metaphor			
marah	menggosok	kalau tidak ada yang <w>menggosok</w>, masakan ia <t>marah</t>	If no one rubs him/her, why would he/she be angry?	kamus_pusat_bahasa_2008	498	to rub, brush, polish, shine	contact	anger is physical contact/harm		person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
marah	kena	Sering benar ia <w>kena</w> <t>marah</t>	He often gets reprimanded	kamus_pusat_bahasa_2008	729	to get hit	contact	anger is physical contact/harm		person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
marah	mengernying	<w>mengernying</w>	to bare/show its teeth/fangs (of animals)	kamus_pusat_bahasa_2008	752	to bare/show its teeth/fangs (of animals)	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	latah mulut	<w>latah mulut</w>	to speak randomly and badly (because of angry)	kamus_pusat_bahasa_2008	887	to speak randomly and badly (because of angry)	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger	mulut				metonymy			
marah	lembut hati	Jika ia akan marah, saya selalu berusaha membujuknya untuk <w>lembut hati</w>nya	"Whenever he wants to get angry, I always lure him to get soft-liver; not easily to get angry"	kamus_pusat_bahasa_2008	908	soft liver	physical attributes	anger is rough, solid entity	hati	anger_entity	intensity-of-anger_degree-of-solidity/consistency-of-the-entity	calmness_softness-of-entity	metaphor			
marah	lunak	<w>lunak</w>		kamus_pusat_bahasa_2008	954	soft	physical attributes	anger is rough, solid entity		anger_entity	intensity-of-anger_degree-of-solidity/consistency-of-the-entity	calmness_softness-of-entity	metaphor			
marah	mengobor	<w>mengobor</w>		kamus_pusat_bahasa_2008	1084	to smoke out with a torch	fire	anger is fire		anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
marah	berampus	<w>berampus</w>		kamus_pusat_bahasa_2008	1257	to use abusive language to	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	merenyuk	<w>merenyuk</w>	standing up abruptly due to anger	kamus_pusat_bahasa_2008	1295	standing up abruptly due to anger	violent frustated behaviour	violent frustated behaviour for anger					metonymy			
marah	ribut	Mengapa kau <w>ribut</w> amat?	Why are you so noisy/angry?	kamus_pusat_bahasa_2008	1305	noisy	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	meruap	Darahnya <w>meruap</w>	His blood is boiling over	kamus_pusat_bahasa_2008	1320	bubbling up due to boiling	heated fluid	anger is (heated) fluid in a container	darah	anger_(heated-)fluid	anger-level_fluid-heat-level	angry-person_container	metaphor			
marah	meruok	<w>meruok</w>		kamus_pusat_bahasa_2008	1330	bubbling up due to boiling	heated fluid	anger is (heated) fluid in a container		anger_(heated-)fluid	anger-level_fluid-heat-level	angry-person_container	metaphor			
marah	menyangkak	<w>Menyangkak</w> hatinya mendengar olok-olok itu		kamus_pusat_bahasa_2008	1360	one's hair stands on end	metonymy	standing body hair for anger	hati				metonymy			
marah	keselapan	<w>keselapan</w>		kamus_pusat_bahasa_2008	1388	possessed by evil	insanity	anger is insanity		anger_insanity	angry-person_insane-person	becoming-uncontrollably-angry_becoming-insane	metaphor			
marah	muka sengit	Mukanya tampak <w>sengit</w> jika sedang <t>marah</t>	His face became sharp and hard when angry	kamus_pusat_bahasa_2008	1412	sharp face	metonymy	aggressive visual behaviour for anger	muka				metonymy			
marah	menyentak-nyentak	<w>menyentak-nyentak</w>		kamus_pusat_bahasa_2008	1416	angry while cursing	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	silap hati	Ketika itu saya sedang <w>silap hati</w>	At that time I was in a dark liver	kamus_pusat_bahasa_2008	1448	dark liver	darkness	anger is darkness	hati	anger_darkness	angry-person_person-being-in-the-dark-state		metaphor			
marah	tersimbur	<w>Tersimbur</w> darah di dada		kamus_pusat_bahasa_2008	1451	spurted out	fluid containment	anger is (heated) fluid in a container	"darah; dada"	anger_(heated-)fluid	anger-level_fluid-heat-level	expressing anger is releasing/channeling the liquid (at others)	metaphor			
marah	menyirapkan	<w>menyirapkan</w>	to cause anger to arise	kamus_pusat_bahasa_2008	1468	slightly lifted	verticality	intensity of anger is verticality		anger_vertical-entity	caused increase intensity is caused upward motion		duplicate			
marah	tersirap	<w>tersirap</w>	anger was increased	kamus_pusat_bahasa_2008	1468	slightly lifted	verticality	intensity of anger is verticality		anger_vertical-entity	increasing intensity of anger is upward motion of the entity		metaphor			
marah	tawar	<w>tawar</w>		kamus_pusat_bahasa_2008	1642	become plain (of taste)	taste	anger is bitterness		anger_bitterness	person-tasting-bitterness_person-experiencing-unfairness	reduced-anger_reduced-bitterness-into-plain-taste	metaphor			
marah	menawari	Seorang yang berpengalaman lagi bijaksana tahu <w>menawari</w> hati orang yang sedang marah		kamus_pusat_bahasa_2008	1642	"to imbue with magic power; to treat s.o."	disease	anger is disease	hati	angry-person_patient	becoming-calm_being-treated-with-antidote		metaphor			
marah	menebah dada	<w>menebah dada</w>		kamus_pusat_bahasa_2008	1645	to hit/punch	metonymy	caressing/punching the chest for anger	dada				metonymy			
marah	belum tegak hendak berlari	<w>belum tegak hendak berlari</w>		kamus_pusat_bahasa_2008	1648	"easily angered; lit not yet straight up but wanting to dash"	metonymy	violent frustated behaviour for anger					metonymy			
marah	tengking	<w>tengking</w>	high-pitched voice	kamus_pusat_bahasa_2008	1679	high-pitched sound/voice	"metonymy; verbal behaviour"	strong/aggressive verbal behaviour for anger					metonymy			
marah	menusuk-nusuk	Tentu ada orang yang <w>menusuk-nusuk</w>, kalau tidak masa ia <t>marah</t> kepada saya		kamus_pusat_bahasa_2008	1764	to stab/pierce repeatedly	harm	anger is physical contact/harm		person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
marah	beruras katang-katang	<w>beruras katang-katang</w>		kamus_pusat_bahasa_2008	1788	to be rubbed with ointment of the 'katang-katang' leaves	disease	anger is disease		angry-person_patient	undesirability-of-anger_undersirability-of-the-disease		metaphor			
amarah	mengilik-ngilik	Jangan suka <w>mengilik-ngilik</w> orang, akibatnya tidak baik		kamus_pusat_bahasa_2008	773	to tickle	disease	anger is physical contact/harm		person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
amarah	melampiaskan	<w>Melampiaskan</w> <t>amarah</t>	Spurt out the anger	kamus_pusat_bahasa_2008	868	spurt out	fluid containment	anger is (heated) fluid in a container		anger_(heated-)fluid	anger-level_fluid-heat-level	expressing anger is releasing/channeling the liquid (at others)	metaphor			
amarah	menyurutkan	<w>menyurutkan</w>		kamus_pusat_bahasa_2008	1569	"to reduce; retreat (of water)"	natural disaster	anger is (destructive) natural force		anger_natural-disaster	causing anger to cease is reducing the amount of the disaster		metaphor			
amarah	menerbitkan	perbuatan itu <w>menerbitkan</w> <t>amarah</t> orang tuanya		kamus_pusat_bahasa_2008	1692	to cause to emerge	cause upward motion	anger is (un)veiled object		anger_(un)hidden-object	expressing anger is unveiling an object (i.e. cause to emerge)		metaphor			
kemarahan	membenamkan	Ia berusaha <w>membenamkan</w> kemarahan		kamus_pusat_bahasa_2008	169	"to hide; conceal"	hiding	anger is (un)veiled object		anger_(un)hidden-object	suppressing anger is hiding/protecting an object		metaphor			
kemarahan	berkobar	demi mendengar berita itu, <t>kemarahan</t>nya semakin <w>berkobar</w>		kamus_pusat_bahasa_2008	786	flare up	fire	anger is fire		anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
kemarahan	padam	<w>padam</w>		kamus_pusat_bahasa_2008	1099	extinguished	fire	anger is fire		anger_fire	angry-person_burning-object	ceasing anger is fire going out	metaphor			
kemarahan	memadamkan	<w>memadamkan</w>		kamus_pusat_bahasa_2008	1099	to extinguish	fire	anger is fire		anger_fire	angry-person_burning-object	ceasing anger is fire going out	metaphor			
kemarahan	mengupak	<w>mengupak</w>	"ignite fire; to cause anger"	kamus_pusat_bahasa_2008	1777	to ignite fire	fire	anger is fire		anger_fire	angry-person_burning-object	causing anger is igniting fire	metaphor			
